Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Season
NE,Tierney,Chris,D-M,"$110,000","$113,333.33",2015
TOR,Zavaleta,Eriq,F,"$85,000","$115,600.00",2015
PHI,Fabinho,Fabinho,D,"$114,000","$118,500.00",2015
PHI,Creavalle,Warren,D,"$108,500","$119,000.00",2015
ORL,Neal,Lewis,M,"$112,500","$119,103.28",2015
CLB,Steindorsson,Kristinn,M,"$105,000","$119,437.50",2015
NYCFC,Facey,Shay,D,"$120,000","$120,000.00",2015
DC,Farfan,Michael,M,"$120,000","$120,000.00",2015
POR,Paparatto,Norberto,D,"$120,000","$120,000.00",2015
KC,Opara,Ike,D,"$115,000","$121,250.00",2015
RSL,Vasquez,Elias,D,"$110,000","$122,136.67",2015
PHI,Blake,Andre,GK,"$85,000","$123,000.00",2015
,Tshuma,Schillo,F,"$85,000","$123,000.00",2015
LA,Gargan,Dan,D,"$125,000","$125,000.00",2015
LA,Husidic,Baggio,M,"$125,000","$125,000.00",2015
PHI,White,Ethan,D,"$125,000","$125,000.00",2015
TOR,Williams,Josh,D,"$125,000","$125,000.00",2015
CHI,Palmer,Lovel,M,"$118,000","$125,500.00",2015
SJ,Nyassi,Sanna,M,"$120,000","$126,250.00",2015
NYCFC,Brovsky,Jeb,M,"$122,500","$129,125.00",2015
RSL,Garcia,Olmes,F,"$130,000","$130,000.00",2015
COL,Harrington,Michael,M-D,"$130,000","$130,000.00",2015
DAL,Harris,Atiba,M-F,"$130,000","$130,000.00",2015
COL,MacMath,Zac,GK,"$130,000","$130,000.00",2015
DAL,Seitz,Chris,GK,"$130,000","$130,000.00",2015
KC,Peterson,Jacob,F,"$123,500","$130,375.00",2015
CHI,Johnson,Jason,F,"$90,000","$131,000.00",2015
PHI,Cruz,Danny,M,"$125,000","$131,666.67",2015
MTL,Kronberg,Eric,GK,"$132,000","$132,000.00",2015
NYRB,Perrinelle,Damien,D,"$132,000","$132,000.00",2015
PHI,Gaddis,Raymon,D,"$130,000","$132,500.00",2015
MTL,Venegas,Johan,M,"$120,000","$132,500.00",2015
SEA,Bedinelli,Thomas,M,"$108,000","$133,125.00",2015
,Lochhead,Tony,D,"$134,375","$134,375.00",2015
KC,Anor,Bernardo,M,"$135,000","$135,000.00",2015
MTL,Bernier,Patrice,F-M,"$90,000","$135,000.00",2015
DAL,Hedges,Matt,D,"$135,000","$135,000.00",2015
POR,Villafana,Jorge,F,"$130,000","$135,000.00",2015
HOU,Lopez,Alexander,M,"$115,500","$135,500.00",2015
SEA,Perkins,Troy,GK,"$130,000","$136,662.50",2015
POR,Jewsbury,Jack,D,"$120,000","$137,500.00",2015
SJ,Bingham,David,GK,"$130,000","$137,750.00",2015
COL,Burling,Bobby,D,"$132,500","$140,000.00",2015
HOU,Alex,,M,"$142,000","$142,000.00",2015
PHI,Sapong,CJ,F,"$125,000","$142,000.00",2015
CLB,Finlay,Ethan,F,"$135,000","$142,500.00",2015
NE,Dorman,Andy,M,"$145,000","$145,000.00",2015
SJ,Thompson,Tommy,M,"$140,000","$145,000.00",2015
NYRB,Wright-Phillips,Shaun,M,"$116,004","$145,704.00",2015
NE,Kobayashi,Daigo,M,"$135,000","$146,666.67",2015
KC,Sinovic,Seth,M-D,"$140,000","$146,750.00",2015
COL,St. Ledger,Sean,D,"$124,992","$147,492.00",2015
SJ,Salinas,Shea,M,"$145,000","$148,333.33",2015
RSL,Phillips,Demar,D,"$140,000","$149,666.67",2015
CLB,Afful,Harrison,D,"$150,000","$150,000.00",2015
KC,Anibaba,Jalil,D,"$120,000","$150,000.00",2015
PHI,Carroll,Brian,M,"$150,000","$150,000.00",2015
HOU,Garrido,Luis,M,"$150,000","$150,000.00",2015
VAN,Harvey,Jordan,D,"$150,000","$150,000.00",2015
NYCFC,Jacobson,Andrew,M,"$150,000","$150,000.00",2015
RSL,Plata,Joao,F,"$150,000","$150,000.00",2015
SJ,Stewart,Jordan,M-D,"$150,000","$150,000.00",2015
HOU,Williams,Sheanon,F,"$145,000","$150,500.00",2015
DC,DeLeon,Nick,M,"$116,259","$151,259.00",2015
NYRB,Robles,Luis,GK,"$130,000","$151,375.00",2015
NE,Fagundez,Diego,F,"$125,000","$152,200.00",2015
TOR,Osorio,Jonathan,M,"$145,000","$152,599.68",2015
MTL,Alexander,Eric,M,"$140,000","$153,750.00",2015
